|GCZP2A     | Chromite - FeOCr2O3 - DP/EC5 | BRAGANCA   | danieloliveira | 41.80 | -6.88 | EARTHCACHE | NOT_CHOSEN | 1.00 | 1.50 | AVAILABLE  | 2006/12/05 | 62 | 2 | 2 | 838
|GCYK7Y     | Vigia do Soutelo | COIMBRA    | ToMarta    | 40.22 | -8.31 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2006/09/30 | 154 | 5 | 0 | -9999999
|GC17620    | Parque dos Moutidos | PORTO      | My Greenway Tours | 41.21 | -8.57 | TRADITIONAL | MICRO      | 1.00 | 1.50 | AVAILABLE  | 2007/04/11 | 423 | 7 | 3 | -9999999
|GCTC0T     | Historical Villages - Almeida | GUARDA     | Blue_Trekkers | 40.73 | -6.91 | TRADITIONAL | SMALL      | 2.00 | 2.00 | AVAILABLE  | 2006/02/07 | 621 | 25 | 23 | 749
|GC14VBW    | A Aldeia Abandonada do Funcho [Silves] | FARO       | clcortez   | 37.27 | -8.37 | TRADITIONAL | REGULAR    | 2.00 | 1.50 | AVAILABLE  | 2007/09/09 | 333 | 1 | 35 | 97
|GCT68J     | Senhora da Luz  | LEIRIA     | nunaum     | 39.69 | -8.88 | TRADITIONAL | SMALL      | 1.50 | 1.50 | AVAILABLE  | 2006/01/27 | 552 | 23 | 14 | 120
|GCPRK6     | Parque Natural de S. Matias | VISEU      | jorgeconceicao | 40.79 | -7.66 | TRADITIONAL | REGULAR    | 1.00 | 2.00 | AVAILABLE  | 2005/07/17 | 79 | 2 | 4 | 719
|GC17460    | Cabo Raso - Farois de Portugal | LISBOA     | zepe_ly    | 38.71 | -9.49 | TRADITIONAL | SMALL      | 1.00 | 1.50 | AVAILABLE  | 2007/11/01 | 1294 | 16 | 17 | 0
|GC145CT    | Olha os Passarinhos !!! [Lagoa de Obidos] | LEIRIA     | McPenha    | 39.40 | -9.19 | TRADITIONAL | REGULAR    | 1.50 | 1.50 | AVAILABLE  | 2007/07/06 | 391 | 6 | 5 | 5
|GC1220J    | Aldeia Subaquatica [Vilarinho das Furnas - Geres] | BRAGA      | jcr        | 41.78 | -8.20 | TRADITIONAL | SMALL      | 3.50 | 3.00 | AVAILABLE  | 2007/04/09 | 511 | 42 | 65 | 566
|GC126T1    | Cavalo de Ferro [Entroncamento] | SANTAREM   | mtrevas    | 39.47 | -8.47 | TRADITIONAL | SMALL      | 3.50 | 2.50 | AVAILABLE  | 2007/04/15 | 424 | 54 | 132 | 38
|GC16K7J    | Da Oliveira a Penha II [Guimaraes] | BRAGA      | hfilipe    | 41.45 | -8.29 | MULTI      | REGULAR    | 2.50 | 2.00 | AVAILABLE  | 2006/04/30 | 249 | 13 | 12 | 205
|GC16B2G    | Espigueiros de Soajo | VIANA DO CASTELO | Fernando Rei | 41.87 | -8.26 | MULTI      | SMALL      | 3.00 | 2.00 | AVAILABLE  | 2007/09/30 | 181 | 20 | 31 | 282
|GC141XD    | Moinho das Doze Pedras | COIMBRA    | Tres Marias | 40.11 | -8.82 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2007/07/01 | 254 | 7 | 6 | 6
|GC150DG    | A ver estrelas... | PORTO      | p@Che      | 41.15 | -8.64 | PUZZLE     | REGULAR    | 2.50 | 3.00 | AVAILABLE  | 2007/09/11 | 265 | 8 | 6 | -9999999
|GCJJBV     | A View To The West [Mafra] | LISBOA     | Bargao_Henriques | 39.00 | -9.43 | TRADITIONAL | REGULAR    | 2.00 | 3.00 | AVAILABLE  | 2004/05/29 | 505 | 7 | 19 | 15
|GC1563P    | MOSTEIRO DE CETE | PORTO      | eterlusitano | 41.18 | -8.37 | TRADITIONAL | SMALL      | 2.00 | 1.00 | AVAILABLE  | 2007/08/15 | 350 | 17 | 3 | 153
|GC10V1Z    | A Grande Castanheira [Vinhais] | BRAGANCA   | Pinaster   | 41.86 | -7.03 | MULTI      | SMALL      | 1.50 | 1.50 | AVAILABLE  | 2007/02/08 | 78 | 1 | 4 | 818
|GC16XN1    |  Potholes - who dunnit? - DP/EC13 | BRAGANCA   | danieloliveira | 41.89 | -6.93 | EARTHCACHE | NOT_CHOSEN | 1.00 | 1.00 | AVAILABLE  | 2007/10/23 | 74 | 0 | 3 | 660
|GCV4HP     | Era uma vez... na Serra da Boa Viagem | COIMBRA    | rifkindsss | 40.19 | -8.88 | TRADITIONAL | REGULAR    | 1.50 | 1.50 | AVAILABLE  | 2006/03/29 | 669 | 67 | 5 | 238
|GCRGDY     | BH21 Les Aventures de Tintin [Lisboa] | LISBOA     | prodrive   | 38.73 | -9.23 | TRADITIONAL | SMALL      | 1.00 | 2.00 | AVAILABLE  | 2005/11/29 | 633 | 18 | 20 | -9999999
|GCYNHZ     | Cinco Quinas [Sabugal] | GUARDA     | pipl       | 40.35 | -7.09 | TRADITIONAL | SMALL      | 1.50 | 1.50 | AVAILABLE  | 2006/10/04 | 467 | 7 | 4 | 746
|GC10YAH    | Serra do Caldeirao [S.B. Alportel] | FARO       | Torgut     | 37.21 | -7.89 | MULTI      | REGULAR    | 3.00 | 3.00 | AVAILABLE  | 2007/02/19 | 50 | 8 | 7 | 463
|GCPR5F     | Castelo e Meio  | COIMBRA    | maillart   | 40.03 | -8.39 | MULTI      | REGULAR    | 2.00 | 2.50 | AVAILABLE  | 2005/07/17 | 220 | 52 | 16 | 264
|GC16Q0V    | Capela dos Ossos (Evora) | EVORA      | tirapicos team | 38.57 | -7.91 | TRADITIONAL | MICRO      | 2.50 | 1.50 | AVAILABLE  | 2007/10/14 | 2114 | 118 | 26 | 284
|GC14Z6Y    | VISTAS DE S. DOMINGOS  | AVEIRO     | eterlusitano | 41.03 | -8.35 | TRADITIONAL | REGULAR    | 1.50 | 1.50 | AVAILABLE  | 2007/08/06 | 152 | 15 | 12 | 390
|GCF83C     | A fronteira de Baixo [Castro Laboreiro] | VIANA DO CASTELO | rob_geo    | 41.95 | -8.18 | TRADITIONAL | REGULAR    | 2.00 | 2.50 | AVAILABLE  | 2003/04/12 | 88 | 7 | 11 | 571
|GC164Z9    | TP65- E tudo o vento levou [Cabeco de Montachique]LISBOA | LISBOA     | btrodrigues | 38.90 | -9.19 | TRADITIONAL | SMALL      | 1.50 | 3.00 | AVAILABLE  | 2007/09/23 | 592 | 21 | 45 | -9999999
|GCVCCN     | Fontes de Estombar (Lagoa) | FARO       | Psipsina   | 37.16 | -8.49 | TRADITIONAL | REGULAR    | 2.00 | 1.50 | AVAILABLE  | 2006/04/12 | 646 | 11 | 20 | 10
|GC15CA6    | SR. DO CASTELO  | PORTO      | eterlusitano | 41.23 | -8.03 | TRADITIONAL | MICRO      | 2.00 | 2.50 | AVAILABLE  | 2007/08/24 | 71 | 3 | 3 | 488
|GC142TP    | Lucky Key       | PORTO      | kidloco    | 41.19 | -8.71 | PUZZLE     | SMALL      | 3.50 | 1.50 | AVAILABLE  | 2007/07/03 | 360 | 14 | 6 | 4
|GC14XPA    | Oasis no Alentejo [Galveias] | PORTALEGRE | RobinWood23 | 39.16 | -7.99 | TRADITIONAL | SMALL      | 2.00 | 2.00 | AVAILABLE  | 2007/08/05 | 214 | 0 | 0 | 224
|GC171VN    | Viriatus eram prognatus hic [Lusitania] | GUARDA     | almeidara  | 40.32 | -7.69 | TRADITIONAL | SMALL      | 1.50 | 2.00 | AVAILABLE  | 2007/10/29 | 126 | 12 | 4 | 811
|GCNGJQ     | Salta Fronteiras entre Fafe Felgueiras | BRAGA      | saltafronteiras | 41.41 | -8.18 | TRADITIONAL | SMALL      | 3.00 | 3.00 | AVAILABLE  | 2005/04/16 | 76 | 5 | 1 | -9999999
|GC9E71     | Pulo do Lobo    | BEJA       | MAntunes   | 37.80 | -7.63 | TRADITIONAL | REGULAR    | 3.00 | 3.50 | AVAILABLE  | 2002/10/20 | 152 | 34 | 35 | 68
|GC174M5    | ARRIFE Twins V  | SANTAREM   | sammendes  | 39.56 | -8.57 | TRADITIONAL | SMALL      | 2.00 | 3.50 | AVAILABLE  | 2007/11/02 | 105 | 2 | 5 | 200
|GCTEQE     | Linhas de Torres - Forte da Feira [ Malveira ] | LISBOA     | clcortez   | 38.94 | -9.26 | TRADITIONAL | SMALL      | 3.00 | 2.00 | AVAILABLE  | 2006/02/13 | 630 | 22 | 15 | 247
|GC1471Q    | Heart of Darkness [Geres] | BRAGA      | Os Cacheiros Viajantes | 41.76 | -8.12 | MULTI      | REGULAR    | 3.00 | 4.00 | AVAILABLE  | 2007/07/07 | 119 | 5 | 56 | -9999999
|GCN9EN     | Castelo de Santiago | SETUBAL    | clcortez   | 38.01 | -8.70 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2005/03/30 | 631 | 22 | 17 | 249
|GC11BE     | LIS Spotter's Place | LISBOA     | dmatos     | 38.78 | -9.14 | VIRTUAL    | VIRTUAL    | 2.00 | 3.00 | AVAILABLE  | 2001/07/21 | 1202 | 3 | 58 | 117
|GCHEMB     | Windmill Route [Palmela] | SETUBAL    | B.O.D.A.   | 38.55 | -8.97 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2004/01/03 | 366 | 6 | 6 | -9999999
|GC15861    | Miradouro de Senharei  [Arcos de Valdevez] | VIANA DO CASTELO | Jafqa      | 41.89 | -8.48 | TRADITIONAL | SMALL      | 2.00 | 3.00 | AVAILABLE  | 2007/08/18 | 179 | 2 | 2 | 536
|GCG39A     | The Tin Man [Lisboa] | LISBOA     | btrodrigues | 38.77 | -9.12 | TRADITIONAL | SMALL      | 1.50 | 1.50 | DISABLED   | 2003/05/11 | 1368 | 52 | 18 | 43
|GC16ZKC    | Igreja Matriz da Golega | SANTAREM   | sammendes  | 39.40 | -8.49 | TRADITIONAL | NOT_CHOSEN | 1.50 | 1.50 | AVAILABLE  | 2007/10/26 | 756 | 21 | 3 | -9999999
|GCXMV2     | Forte de Milreus [Mafra] | LISBOA     | Bargao_Henriques | 38.98 | -9.42 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2006/08/11 | 861 | 2 | 40 | 20
|GC10VPJ    | Penha do Meio-Dia - Montejunto | LISBOA     | McPenha    | 39.19 | -9.05 | TRADITIONAL | REGULAR    | 2.00 | 3.00 | AVAILABLE  | 2007/02/09 | 403 | 2 | 46 | 544
|GC13Y2K    | Aqueduto da Amoreira - Elvas | PORTALEGRE | JorgeDraco & Anjo | 38.88 | -7.17 | TRADITIONAL | SMALL      | 1.50 | 1.50 | AVAILABLE  | 2007/06/26 | 776 | 28 | 10 | 297
|GCM8AA     | Mosteiro de Cos [Alcobaca] | LEIRIA     | olharapo   | 39.61 | -8.95 | TRADITIONAL | REGULAR    | 2.50 | 2.00 | AVAILABLE  | 2004/12/10 | 404 | 16 | 4 | 82
|GC12TEZ    | Oporto Botanical Garden | PORTO      | kidloco    | 41.15 | -8.64 | PUZZLE     | SMALL      | 3.50 | 1.50 | AVAILABLE  | 2007/05/19 | 153 | 14 | 7 | 70
|GC16M14    | Santuario da Senhora da Rocha | LISBOA     | Kelux      | 38.72 | -9.25 | MULTI      | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2007/10/12 | 317 | 28 | 7 | 28
|GCY9RQ     | TP01 - O Sofa de Bucelas [Bucelas] | LISBOA     | Peter!     | 38.88 | -9.13 | TRADITIONAL | SMALL      | 3.50 | 5.00 | AVAILABLE  | 2006/09/14 | 81 | 5 | 20 | 126
|GCH37D     | Alto da Memoria | LISBOA     | B.O.D.A.   | 38.78 | -9.44 | TRADITIONAL | REGULAR    | 2.50 | 2.00 | AVAILABLE  | 2003/10/19 | 561 | 15 | 18 | -9999999
|GC15994    | Moinho da Tramaga | PORTALEGRE | TonyMary   | 39.23 | -8.03 | MULTI      | SMALL      | 1.50 | 1.50 | AVAILABLE  | 2007/08/19 | 126 | 11 | 7 | -9999999
|GC13KTF    | Telheiras - Porta do Ceu | LISBOA     | acasim     | 38.76 | -9.17 | MULTI      | SMALL      | 2.00 | 1.50 | AVAILABLE  | 2007/06/13 | 467 | 47 | 53 | 97
|GCRM3D     | Rio Paleozoico [Valongo - pt+en] | PORTO      | caixeiros  | 41.15 | -8.48 | TRADITIONAL | SMALL      | 2.00 | 2.00 | AVAILABLE  | 2005/12/10 | 261 | 6 | 5 | 44
|GC11Z6V    | Marco dos 4 Concelhos [ARC-VFR-CPV-GDM] | AVEIRO     | daraopedal | 41.00 | -8.39 | TRADITIONAL | REGULAR    | 1.50 | 1.50 | AVAILABLE  | 2007/04/06 | 90 | 1 | 5 | 460
|GCQXCZ     | Costa Azul [Santiago Cacem] | SETUBAL    | G@tos      | 38.06 | -8.82 | TRADITIONAL | SMALL      | 2.00 | 3.00 | AVAILABLE  | 2005/10/08 | 253 | 3 | 11 | 22
|GCPJEG     | Moinhos de Vento [Barcelos - pt+en] | BRAGA      | caixeiros  | 41.45 | -8.58 | TRADITIONAL | REGULAR    | 1.50 | 2.00 | AVAILABLE  | 2005/07/03 | 151 | 3 | 0 | -9999999
|GC1289R    | SENHORA DA GRACA I  | VILA REAL  | eterlusitano | 41.42 | -7.92 | TRADITIONAL | REGULAR    | 2.00 | 2.50 | AVAILABLE  | 2007/04/17 | 416 | 6 | 15 | 889
|GCHB7M     | AiAi... tou que nem posso! [Amiosinho] | COIMBRA    | & Company  | 40.04 | -8.10 | TRADITIONAL | REGULAR    | 1.50 | 1.50 | AVAILABLE  | 2003/12/08 | 53 | 16 | 5 | 382
|GC12K45    | A Lenda [Sancta Irena] | SANTAREM   | s.paula    | 39.24 | -8.67 | MULTI      | SMALL      | 2.00 | 2.00 | AVAILABLE  | 2007/05/01 | 212 | 32 | 5 | 15
|GC14VBQ    | Varanda de Pilatos [Peniche] | LEIRIA     | clcortez   | 39.36 | -9.41 | TRADITIONAL | SMALL      | 3.50 | 2.00 | AVAILABLE  | 2007/08/19 | 1167 | 413 | 123 | 30
|GCYGR8     | The Pythagoras Project | FARO       | Team Caracache | 37.03 | -8.91 | PUZZLE     | REGULAR    | 3.00 | 2.50 | AVAILABLE  | 2006/09/25 | 63 | 3 | 12 | 49
|GC14HF4    | Antas da Masmorra | FARO       | GadgetTracker | 37.38 | -7.86 | TRADITIONAL | REGULAR    | 1.00 | 3.00 | AVAILABLE  | 2007/07/22 | 71 | 5 | 2 | 351
|GCTC1P     | The Watchtower [Lisboa] | LISBOA     | Felinos    | 38.73 | -9.13 | TRADITIONAL | SMALL      | 1.50 | 2.00 | DISABLED   | 2006/02/07 | 870 | 46 | 25 | 91
|GCY2ZY     | Moinhos Montedor | VIANA DO CASTELO | cou        | 41.75 | -8.88 | TRADITIONAL | REGULAR    | 1.50 | 3.00 | AVAILABLE  | 2006/08/31 | 507 | 5 | 11 | 11
|GC159NY    | CIRCUITO DOS MOINHOS DE ARGONTIM | BRAGA      | eterlusitano | 41.43 | -8.08 | MULTI      | SMALL      | 2.00 | 1.50 | AVAILABLE  | 2007/08/21 | 33 | 12 | 2 | -9999999
|GC15CGK    | Ingrina Beach [Vila do Bispo] | FARO       | Jdmarques  | 37.04 | -8.88 | TRADITIONAL | REGULAR    | 1.50 | 2.00 | AVAILABLE  | 2007/08/24 | 665 | 2 | 14 | 5
|GC16TVF    | Ganda Pedrada ... [Serra da Peneda] | VIANA DO CASTELO | pxlobo     | 41.93 | -8.29 | TRADITIONAL | REGULAR    | 2.00 | 4.50 | AVAILABLE  | 2007/10/14 | 48 | 0 | 16 | 1393
|GC1672R    | ST14 - SRA. DE FATIMA | BRAGA      | SPY_Team   | 41.50 | -8.45 | MULTI      | SMALL      | 1.00 | 1.50 | AVAILABLE  | 2007/09/25 | 246 | 2 | 0 | 295
|GC1483D    | CORNOS DAS ALTURAS! | VILA REAL  | Drager     | 41.71 | -7.82 | MULTI      | REGULAR    | 4.00 | 3.50 | AVAILABLE  | 2007/07/09 | 35 | 6 | 5 | -9999999
|GCWQ24     | Passeio Publico [Lisboa Romantica] | LISBOA     | almeidara  | 38.72 | -9.14 | MULTI      | MICRO      | 1.50 | 1.50 | AVAILABLE  | 2006/06/26 | 416 | 40 | 34 | 22
|GCWDDE     | Prado do Vidoal [Geres - pt+en] | BRAGA      | caixeiros  | 41.77 | -8.15 | MULTI      | SMALL      | 2.50 | 3.00 | AVAILABLE  | 2006/06/03 | 155 | 6 | 41 | 860
|GCY3MF     | Black Pit [Penafiel] | PORTO      | Silvana    | 41.06 | -8.37 | TRADITIONAL | REGULAR    | 2.00 | 3.00 | AVAILABLE  | 2006/09/02 | 64 | 9 | 7 | 33
|GC15B20    | E fez-se luz! [Arouca - pt+en] | AVEIRO     | caixeiros  | 40.88 | -8.13 | TRADITIONAL | SMALL      | 1.50 | 2.00 | AVAILABLE  | 2007/08/21 | 302 | 5 | 18 | 667
|GCMXZR     | Senhora do Monte | LISBOA     | [Walrus]   | 38.72 | -9.13 | TRADITIONAL | MICRO      | 2.50 | 1.50 | AVAILABLE  | 2005/02/27 | 1017 | 151 | 39 | 80
|GC12QF5    | Miradouro de  Boticas | VILA REAL  | Silvana    | 41.69 | -7.67 | MULTI      | REGULAR    | 2.00 | 1.50 | AVAILABLE  | 2007/05/06 | 129 | 8 | 7 | -9999999
|GCRTEH     | Monte Redondo   | LEIRIA     | mafilll    | 39.89 | -8.84 | TRADITIONAL | SMALL      | 2.50 | 3.00 | AVAILABLE  | 2007/04/08 | 369 | 17 | 4 | 60
|GC119PC    | M.A.N. - Movimento Anti Nos  [Estoril] | LISBOA     | Portelada  | 38.72 | -9.39 | TRADITIONAL | REGULAR    | 2.00 | 2.50 | AVAILABLE  | 2007/03/06 | 311 | 6 | 8 | 73
|GCVJ73     | Penedo da Amizade [Sintra] | LISBOA     | play mobil | 38.79 | -9.39 | TRADITIONAL | REGULAR    | 2.00 | 3.50 | AVAILABLE  | 2006/04/24 | 596 | 32 | 147 | 370
|GCNQZZ     | Historical Villages - Idanha-a-Velha | CASTELO BRANCO | PauloJFMartins | 40.00 | -7.15 | TRADITIONAL | REGULAR    | 1.00 | 1.00 | AVAILABLE  | 2005/07/04 | 431 | 22 | 12 | -9999999
|GCR5QP     | The Fishing Spot - Obidos | LEIRIA     | Trupe Geocaching | 39.42 | -9.24 | TRADITIONAL | SMALL      | 1.00 | 1.00 | AVAILABLE  | 2005/10/30 | 632 | 10 | 4 | 30
|GCX64D     | Posto de Vigia Monte Redondo [Arganil] | COIMBRA    | maillart   | 40.21 | -7.96 | TRADITIONAL | REGULAR    | 2.00 | 2.50 | AVAILABLE  | 2006/07/16 | 130 | 0 | 5 | 950
|GC15G66    | S. MAMEDE DE NEGRELOS  | PORTO      | eterlusitano | 41.34 | -8.35 | TRADITIONAL | SMALL      | 3.50 | 1.50 | AVAILABLE  | 2007/08/28 | 180 | 10 | 1 | 256
|GC13D90    | Cruziana [Penha Garcia] | CASTELO BRANCO | Bargao_Henriques | 40.04 | -7.01 | EARTHCACHE | NOT_CHOSEN | 1.50 | 2.00 | AVAILABLE  | 2007/06/04 | 209 | 2 | 32 | 500
|GC14R59    | Parque Eolico de Serra D'El Rei [Peniche] | LEIRIA     | B.O.D.A.   | 39.32 | -9.27 | TRADITIONAL | REGULAR    | 2.50 | 1.50 | AVAILABLE  | 2007/07/28 | 306 | 7 | 1 | 143
|GC15J9Z    | Circuito de Vila do Conde | PORTO      | cmcfaria   | 41.34 | -8.75 | TRADITIONAL | MICRO      | 1.50 | 1.00 | AVAILABLE  | 2007/08/31 | 935 | 45 | 0 | 4
|GCZRB4     | Penamacor       | CASTELO BRANCO | Ogato      | 40.17 | -7.17 | TRADITIONAL | NOT_CHOSEN | 1.50 | 1.50 | AVAILABLE  | 2006/12/09 | 365 | 20 | 9 | 574
|GC16QCW    | The Secret      | LISBOA     | antunesn   | 38.73 | -9.15 | TRADITIONAL | MICRO      | 2.00 | 1.00 | AVAILABLE  | 2007/10/16 | 2091 | 123 | 1 | 75
|GCAE48     | Miradouro       | ARQUIPELAGO DOS ACORES | Leemax     | 37.79 | -25.15 | VIRTUAL    | VIRTUAL    | 1.00 | 1.00 | AVAILABLE  | 2002/11/14 | 672 | 1 | 35 | 248
|GC17887    | Acude da Agolada (Coruche) | SANTAREM   | ftomar     | 38.96 | -8.56 | TRADITIONAL | SMALL      | 2.00 | 2.00 | AVAILABLE  | 2007/11/07 | 187 | 18 | 7 | 61
|GCZ5JP     | Cucos Valley [Torres Vedras] | LISBOA     | MONTE DA LUA | 39.09 | -9.24 | TRADITIONAL | REGULAR    | 1.50 | 1.50 | AVAILABLE  | 2006/11/01 | 611 | 6 | 9 | 40
|GC15536    | Termas da Piedade [ Alcobaca] | LEIRIA     | dakidali   | 39.57 | -9.00 | TRADITIONAL | REGULAR    | 1.50 | 1.50 | AVAILABLE  | 2007/08/14 | 652 | 10 | 1 | 7
|GCRM1W     | Umbilicu Patriae [Sardoal] | SANTAREM   | HDV        | 39.62 | -8.17 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2005/12/11 | 270 | 4 | 24 | -9999999
|GC11J2N    | Sr. dos Desamparados | BRAGA      | Agostinho e Sandra | 41.54 | -8.74 | TRADITIONAL | REGULAR    | 1.00 | 1.50 | AVAILABLE  | 2007/03/18 | 402 | 3 | 2 | 111
|GCW978     | Placido [Pte de Lima - pt+en] | VIANA DO CASTELO | caixeiros  | 41.78 | -8.61 | TRADITIONAL | SMALL      | 1.00 | 1.00 | AVAILABLE  | 2006/05/27 | 472 | 1 | 10 | 214
|GC176YG    | Poco das Pias   | GUARDA     | nmcouto    | 40.46 | -7.40 | TRADITIONAL | REGULAR    | 4.00 | 4.50 | AVAILABLE  | 2007/11/05 | 47 | 3 | 1 | 917
|GC11BWX    | DP32 - Vila Boa de Ousilhao | BRAGANCA   | danieloliveira | 41.81 | -6.92 | TRADITIONAL | SMALL      | 1.50 | 3.00 | AVAILABLE  | 2007/03/08 | 45 | 0 | 0 | 639
|GCVDGM     | Matinha de Queluz #2 | LISBOA     | afonso_loureiro | 38.74 | -9.26 | TRADITIONAL | SMALL      | 2.00 | 2.00 | DISABLED   | 2006/07/23 | 607 | 9 | 2 | -9999999
|GCRE96     | BH19 Scene from above [Portugal...] | LISBOA     | prodrive   | 39.00 | -9.50 | PUZZLE     | SMALL      | 3.00 | 1.50 | AVAILABLE  | 2005/11/23 | 173 | 13 | 9 | 0
|GC101CB    | Monte da Ciradelha [Vinhais] | BRAGANCA   | Pinaster   | 41.85 | -6.99 | TRADITIONAL | SMALL      | 2.00 | 2.50 | DISABLED   | 2006/12/28 | 138 | 4 | 16 | 1004
|GCJ639     | Bicas Beach [Aldeia do Meco] | SETUBAL    | B.O.D.A.   | 38.46 | -9.20 | TRADITIONAL | REGULAR    | 2.00 | 3.00 | AVAILABLE  | 2004/04/12 | 311 | 21 | 14 | -9999999
|GC16670    | LAMEIRINHA      | BRAGA      | eterlusitano | 41.49 | -8.07 | TRADITIONAL | SMALL      | 3.00 | 2.00 | AVAILABLE  | 2007/09/23 | 193 | 6 | 33 | -9999999
|GC15386    | Penedo do Eido  | VIANA DO CASTELO | Fernando Rei | 41.80 | -8.27 | TRADITIONAL | REGULAR    | 3.00 | 3.00 | AVAILABLE  | 2007/08/11 | 50 | 1 | 14 | 675
|GCPJQV     | SweetCam        | FARO       | argonauta  | 37.10 | -8.47 | WEBCAM     | OTHER_SIZE | 1.00 | 1.00 | AVAILABLE  | 2005/07/04 | 1395 | 7 | 103 | 14
|GCZWBW     | Radha Krishna [Hinduismo] | LISBOA     | almeidara  | 38.77 | -9.17 | MULTI      | MICRO      | 1.50 | 1.50 | AVAILABLE  | 2006/12/18 | 535 | 25 | 4 | 107
|GC171VF    | PR1 - Trilho das Jans | PORTALEGRE | almeidara  | 39.54 | -7.83 | TRADITIONAL | REGULAR    | 1.50 | 2.50 | AVAILABLE  | 2007/10/29 | 33 | 3 | 5 | 65
|GC16EQK    | LOUSADA 1       | PORTO      | eterlusitano | 41.27 | -8.26 | MULTI      | MICRO      | 1.50 | 2.00 | AVAILABLE  | 2007/10/05 | 114 | 5 | 1 | 197
|GCPX7M     | Passagem para a liberdade [Vilamoura] | FARO       | olharapo   | 37.07 | -8.12 | TRADITIONAL | SMALL      | 2.00 | 1.00 | AVAILABLE  | 2005/07/23 | 2016 | 94 | 16 | 3
|GC15V3N    | OBRAS DO FIDALGO  | PORTO      | eterlusitano | 41.21 | -8.19 | TRADITIONAL | SMALL      | 2.00 | 1.50 | AVAILABLE  | 2007/09/09 | 232 | 2 | 26 | -9999999
|GC12D55    | Fragas de S. Simao | LEIRIA     | Paulo Martins | 39.92 | -8.32 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2007/04/22 | 525 | 3 | 52 | -9999999
|GCQPJ1     | S. Minho (Serra Arga-Viana Castelo) | VIANA DO CASTELO | cou        | 41.80 | -8.69 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2005/09/25 | 297 | 4 | 3 | -9999999
|GCQM5B     | The Waterfall [Pitoes das Junias] | VILA REAL  | razalas    | 41.83 | -7.95 | TRADITIONAL | SMALL      | 2.00 | 3.50 | AVAILABLE  | 2005/09/14 | 473 | 4 | 52 | 950
|GCNEHE     | DP5- Nutty Toon Cache | LISBOA     | danieloliveira | 38.75 | -9.43 | TRADITIONAL | SMALL      | 3.50 | 4.50 | AVAILABLE  | 2005/04/11 | 204 | 15 | 32 | -9999999
|GC15XNT    | Lenda de N. Sra. das Neves [Bagunte-Vila do Conde]PORTO | PORTO      | eniel      | 41.39 | -8.64 | TRADITIONAL | SMALL      | 2.00 | 2.00 | AVAILABLE  | 2007/09/13 | 297 | 1 | 3 | -9999999
|GCG9P6     | Taipa [Paderne] | FARO       | afonso_loureiro | 37.16 | -8.20 | TRADITIONAL | REGULAR    | 2.50 | 3.00 | AVAILABLE  | 2003/06/15 | 667 | 5 | 9 | -9999999
|GCHYTT     | Alvao - Ranhadouro | VILA REAL  | vfalco     | 41.34 | -7.82 | TRADITIONAL | REGULAR    | 2.00 | 1.00 | AVAILABLE  | 2004/03/14 | 111 | 1 | 2 | 1156
|GC1627H    | 460 million year old bookshop - DP/EC12  | COIMBRA    | danieloliveira | 40.28 | -8.27 | EARTHCACHE | NOT_CHOSEN | 1.00 | 1.00 | AVAILABLE  | 2007/09/19 | 416 | 5 | 25 | 54
|GC13006    | S. BENTO DAS PERAS | BRAGA      | eterlusitano | 41.38 | -8.29 | TRADITIONAL | SMALL      | 2.00 | 2.50 | AVAILABLE  | 2007/05/17 | 234 | 14 | 5 | 430
|GC1020Z    | GT Dino's Lunch Box [Sintra] [Lisbon} | LISBOA     | golden-team | 38.81 | -9.48 | TRADITIONAL | LARGE      | 1.50 | 1.50 | AVAILABLE  | 2006/12/29 | 387 | 9 | 17 | 57
|GCMA2Z     | Nascentes do Liz [Leiria] | LEIRIA     | olharapo   | 39.68 | -8.77 | TRADITIONAL | REGULAR    | 2.00 | 3.50 | AVAILABLE  | 2004/12/19 | 512 | 27 | 6 | 101
|GCV43A     | GnE IV - Regueira [Rio Maior] | SANTAREM   | TattaTeam  | 39.37 | -8.95 | TRADITIONAL | LARGE      | 1.50 | 2.50 | AVAILABLE  | 2006/03/28 | 341 | 8 | 2 | 104
|GCZGT0     | ALAGOA          | ARQUIPELAGO DOS ACORES | Ccota      | 38.79 | -27.19 | TRADITIONAL | SMALL      | 3.50 | 2.00 | AVAILABLE  | 2006/11/24 | 199 | 45 | 1 | 9
|GCQ7JZ     | O Ascensor da Bica / The Bica Funicular | LISBOA     | rifkindsss | 38.71 | -9.15 | TRADITIONAL | MICRO      | 2.00 | 1.50 | DISABLED   | 2005/08/21 | 1373 | 122 | 61 | 20
